CASEID,WGT2011_2015,WGT2013_2017,WGT2015_2019,WGT2011_2017,WGT2013_2019,WGT2011_2019
55773,2639.7754538,,,1712.8845537,,1488.7408676
55775,1463.5621043,,,988.97622734,,773.93923457
55776,16523.856973,,,11883.344913,,9080.7251732
55779,1624.1297619,,,1066.3570962,,433.15037351
55780,13376.805322,,,7230.9672252,,5128.2637055
55783,8313.5004226,,,5627.7150793,,4655.3985995
55785,6270.18954,,,4222.9589657,,3192.9676018
55786,5012.0813222,,,3595.5926015,,2744.6665552
55788,1755.7469762,,,1086.1262801,,934.80832597
55792,7626.2774888,,,5420.4952587,,4190.400524
55793,21031.997266,,,13484.062418,,10611.677148
55794,1770.1309319,,,1117.7405726,,680.67309531
55795,4402.9023445,,,2885.1374582,,2040.3712934
55796,2920.7557445,,,2043.561227,,1685.9347546
55797,1668.2876181,,,1200.1331865,,1026.9985871
55798,26869.154608,,,17351.582152,,15350.685595
55800,1963.1357808,,,1257.4656799,,1009.7742765
55804,3784.7124854,,,2711.9644608,,2069.1251677
55806,2113.0001537,,,1505.2178157,,1200.2645064
55807,7095.3474157,,,4765.1762792,,3715.1393696
55808,39574.78,,,29365.5,,21350.08
55809,5502.925488,,,3857.8003271,,3182.8352512
55811,3445.6481347,,,2412.3519698,,1990.2182672
55813,8925.6674642,,,6413.1277568,,4898.6966506
55814,2475.2415633,,,1646.5546211,,1302.7420189
55815,2513.2129927,,,1012.5370098,,394.0221
55817,39574.78,,,28115.855868,,21350.08
55818,5950.614765,,,3997.6151497,,3117.3026907
55821,965.29536118,,,692.13217394,,550.58621269
55823,13495.472139,,,5041.3849362,,2471.9382839
55824,10895.530084,,,8053.0173724,,6085.6074092
55827,8329.2990136,,,8705.6567831,,6395.5849527
55830,4646.2609629,,,2677.8726027,,2390.881503
55833,2254.1252136,,,1452.4540611,,1135.291413
55834,6573.5394844,,,2519.2618643,,1361.039796
55836,3069.6821362,,,2192.556213,,1734.6961036
55837,1838.7171998,,,1177.9018444,,945.73127079
55841,9126.0652787,,,6122.6565461,,4745.9559813
55842,1155.3076484,,,764.78065351,,574.21482794
55844,10688.602333,,,6790.9979646,,4917.1380075
55845,12617.964655,,,8462.7001384,,6550.8104738
55847,1514.3606737,,,1273.75042,,865.74204562
55849,1842.4090746,,,1527.3582322,,1029.8880238
55852,1130.1007274,,,1227.3480528,,790.87970083
55853,1734.5748604,,,1094.6546688,,828.79476237
55856,3669.0847173,,,1853.1276536,,1244.0953243
55857,1823.5425798,,,1282.3534476,,859.87964908
55858,6528.7788209,,,4721.0243652,,3651.2904679
55859,1962.2475885,,,1560.2110241,,1280.5292854
55861,22845.443383,,,14645.997775,,11526.845537
55862,1662.0620577,,,1185.7530077,,945.0031407
55863,24780.103882,,,15885.599225,,12503.18562
55864,2298.2239131,,,1659.9497791,,1180.7389924
55865,4971.3526497,,,3920.8108185,,2680.074182
55866,3334.5751558,,,2624.0508564,,1737.9758396
55870,2109.1118849,,,1359.5391892,,1062.1094127
55872,2508.6415769,,,1688.0900648,,1325.614898
55873,4563.2220475,,,2931.9693485,,2300.5934365
