CASEID,FULL_SAMPLE_WGT,REP_WGT_1,REP_WGT_2,REP_WGT_3,REP_WGT_4,REP_WGT_5,REP_WGT_6,REP_WGT_7,REP_WGT_8,REP_WGT_9,REP_WGT_10,REP_WGT_11,REP_WGT_12,REP_WGT_13,REP_WGT_14,REP_WGT_15,REP_WGT_16,REP_WGT_17,REP_WGT_18,REP_WGT_19,REP_WGT_20,REP_WGT_21,REP_WGT_22,REP_WGT_23,REP_WGT_24,REP_WGT_25,REP_WGT_26,REP_WGT_27,REP_WGT_28,REP_WGT_29,REP_WGT_30,REP_WGT_31,REP_WGT_32,REP_WGT_33,REP_WGT_34,REP_WGT_35,REP_WGT_36,REP_WGT_37,REP_WGT_38,REP_WGT_39,REP_WGT_40
25330,10963.643396493184,17859.246590237675,0,0,0,30420.08994013618,0,22764.1146348062,0,23183.495614417443,22630.63700223438,25669.60234522017,22754.549187802313,0,0,22099.267047138273,0,0,16683.898735252824,19939.823005115286,0,0,23859.543139851732,16549.753353634198,25188.845169134565,0,21989.613495414735,0,20295.80477563243,0,0,0,0,24681.622002203156,30267.437156306525,0,22170.084126181333,17469.694234365343,0,0,19039.752247859316
25331,8452.869567510463,14046.532154717524,0,0,0,18054.627002128273,0,15771.704234033628,0,18094.823126900254,17431.552697525396,17251.253941973704,16268.283721958062,0,0,16164.857783272484,0,0,16291.22637934727,15737.328274929037,0,0,15940.005936305435,14726.032761037717,18720.276029053402,0,16978.642688883774,0,17051.939836130052,0,0,0,0,17153.423908008648,17091.240652567867,0,16505.432845785206,17340.112120812282,0,0,16869.644510165952
25333,8225.540528418507,12640.051995433236,0,0,0,17803.21489290207,0,15154.504373059466,0,15013.396188032739,17747.869332260332,18577.19019746735,14754.571461787613,0,0,19765.138280166044,0,0,13790.876653808058,14389.869407224847,0,0,19810.798359014334,13961.276453322771,16880.432685420725,0,14882.147063269136,0,18052.114792057455,0,0,0,0,16963.729618696427,16533.101067097803,0,17262.085764990396,15142.388324676867,0,0,15899.708895769461
25334,8292.09072395787,13779.358365068607,0,0,0,17711.216752272667,0,15471.716597012952,0,17750.64832171767,17099.993708988957,16923.12434805646,15958.850833811388,0,0,15857.392120892446,0,0,15981.357107568554,15437.994490059598,0,0,15636.817096090615,14445.934446669125,18364.204720144873,0,16655.698330780375,0,16727.60132063716,0,0,0,0,16827.15510226517,16766.154611070102,0,16191.489233608792,17010.292388993377,0,0,16548.773365304947
25339,8452.869567510463,14046.532154717524,0,0,0,18054.627002128273,0,15771.704234033628,0,18094.823126900254,17431.552697525396,17251.253941973704,16268.283721958062,0,0,16164.857783272484,0,0,16291.22637934727,15737.328274929037,0,0,15940.005936305435,14726.032761037717,18720.276029053402,0,16978.642688883774,0,17051.939836130052,0,0,0,0,17153.423908008648,17091.240652567867,0,16505.432845785206,17340.112120812282,0,0,16869.644510165952
25346,4691.981787588766,7528.227467026232,0,0,0,10102.718747066618,0,8703.589689615015,0,10776.200470735537,8925.77651821695,8627.17062509126,9312.777615806575,0,0,9931.42452106336,0,0,8712.90755056012,8552.895562683723,0,0,9278.282426610787,8984.418145531876,9515.94088670879,0,9329.844628582998,0,9394.062213436531,0,0,0,0,9177.589601128093,9778.103852161872,0,9154.663711342391,9214.746881974434,0,0,9827.559724665829
25350,8914.557491962365,16922.874931565144,0,0,0,26747.40777072996,0,14887.90262054563,0,19803.811476579333,18276.41455323588,19447.420974861125,21003.512656448154,0,0,20796.300576731042,0,0,17733.327201871845,17311.73796768577,0,0,16114.783407295643,14597.620865738218,28306.933131772228,0,17361.086110768152,0,17060.490131131195,0,0,0,0,19295.4893427837,15095.589461429605,0,17933.95503437144,20909.534772770578,0,0,15912.62929376266
25359,8662.090416841871,14394.204310794157,0,0,0,18501.505351022457,0,16162.07691503788,0,18542.696388503966,17863.009048698645,17678.2476360021,16670.947469492367,0,0,16564.961587989514,0,0,16694.457991111165,16126.850100812078,0,0,16334.544329889539,15090.523548094061,19183.63016213634,0,17398.888856826135,0,17474.000215362194,0,0,0,0,17577.996166022585,17514.273784322544,0,16913.96637998888,17769.30518435636,0,0,17287.192814223767
25362,7553.133101755,12551.397621282604,0,0,0,16132.864675182496,0,14092.939725349835,0,16168.782262476696,15576.11135994886,15415.003881844972,14536.66252716745,0,0,14444.245404813084,0,0,14557.163132741054,14062.222796318369,0,0,14243.327135016834,13158.57113570502,16727.66099367106,0,15171.409790728421,0,15236.905076643869,0,0,0,0,15327.587027487321,15272.02265360299,0,14748.569132720168,15494.403859164746,0,0,15074.01354615972
25363,27932.482700549626,54185.482118409775,0,0,0,47815.43642595871,0,56639.50679826997,0,68190.64033368087,46843.00613130624,63373.174836913895,51122.65366699677,0,0,45861.762653173195,0,0,50996.547690394014,54349.8229507972,0,0,51417.00787190677,59224.807513915235,54751.95159351004,0,53144.81857091867,0,54340.53431153359,0,0,0,0,55104.10736600817,51367.367966687605,0,62412.58521814275,67788.43818623274,0,0,45170.76781311866
